地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
富裕县,230227.0,富裕县,230227.0,县,齐齐哈尔市,230200.0,地级市,黑龙江省,230000.0,省,,,Fuyu,Fù Yù,230227.0,Fuyu,FùYù,230227.0,,Qiqihaer,,230200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,335
富源县,530325.0,富源县,530325.0,县,曲靖市,530300.0,地级市,云南省,530000.0,省,,,Fuyuan,Fù Yuán,530325.0,Fuyuan,FùYuán,530325.0,,Qujing,,530300.0,,Yunnan,,530000.0,Province,2015.0,0
富蕴县,654322.0,富蕴县,654322.0,县,阿勒泰地区,654300.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Fuyun,Fù Yùn,654322.0,Fuyun,FùYùn,654322.0,,Aletai,,654300.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
伽师县,653129.0,伽师县,653129.0,县,喀什地区,653100.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Jiashi,,653129.0,Jiashi,,653129.0,,Kashi,,653100.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
噶尔县,542523.0,噶尔县,542523.0,县,阿里地区,542500.0,地区,西藏自治区,540000.0,自治区,,,Gaer,,542523.0,Gaer,,542523.0,,Ali,,542500.0,Prefecture,Xizang,,540000.0,,2015.0,0
盖州市,210881.0,盖州市,210881.0,县级市,营口市,210800.0,地级市,辽宁省,210000.0,省,,,Gaizhou,,210881.0,Gaizhou,,210881.0,,Yingkou,Yíng Kǒu,210800.0,,Liaoning,,210000.0,Province,2015.0,0
甘德县,632623.0,甘德县,632623.0,县,果洛藏族自治州,632600.0,自治州,青海省,630000.0,省,,,Gande,Gān Dé,632623.0,Gande,GānDé,632623.0,,Guoluozangzu,,632600.0,,Qinghai,Qīng Hǎi,630000.0,Province,2015.0,0
甘谷县,620523.0,甘谷县,620523.0,县,天水市,620500.0,地级市,甘肃省,620000.0,省,,,Gangu,,620523.0,Gangu,,620523.0,,Tianshui,Tiān Shuǐ,620500.0,,Gansu,Gān Sù,620000.0,Province,2015.0,0
甘井子区,210211.0,甘井子区,210211.0,市辖区,大连市,210200.0,地级市,辽宁省,210000.0,省,,,Ganjingzi,,210211.0,Ganjingzi,,210211.0,,Dalian,,210200.0,,Liaoning,,210000.0,Province,2015.0,0
甘洛县,513435.0,甘洛县,513435.0,县,凉山彝族自治州,513400.0,自治州,四川省,510000.0,省,,,Ganluo,Gān Luò,513435.0,Ganluo,GānLuò,513435.0,,Liangshanyizu,,513400.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
甘南县,230225.0,甘南县,230225.0,县,齐齐哈尔市,230200.0,地级市,黑龙江省,230000.0,省,,,Gannan,,230225.0,Gannan,,230225.0,,Qiqihaer,,230200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,181
甘泉县,610627.0,甘泉县,610627.0,县,延安市,610600.0,地级市,陕西省,610000.0,省,,,Ganquan,Gān Quán,610627.0,Ganquan,GānQuán,610627.0,,Yanan,,610600.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
甘州区,620702.0,甘州区,620702.0,市辖区,张掖市,620700.0,地级市,甘肃省,620000.0,省,,,Ganzhou,Gān Zhōu,620702.0,Ganzhou,GānZhōu,620702.0,,Zhangye,,620700.0,,Gansu,Gān Sù,620000.0,Province,2015.0,0
甘孜县,513328.0,甘孜县,513328.0,县,甘孜藏族自治州,513300.0,自治州,四川省,510000.0,省,,,Ganzi,Gān Zī,513328.0,Ganzi,GānZī,513328.0,,Ganzizangzu,,513300.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
赣县,360721.0,赣县,360721.0,县,赣州市,360700.0,地级市,江西省,360000.0,省,,,Ganxian,Gàn Xiàn,360721.0,Ganxian,GànXiàn,360721.0,,Ganzhou,Gàn Zhōu,360700.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
刚察县,632224.0,刚察县,632224.0,县,海北藏族自治州,632200.0,自治州,青海省,630000.0,省,,,Gangcha,Gāng Chá,632224.0,Gangcha,GāngChá,632224.0,,Haibeizangzu,,632200.0,,Qinghai,Qīng Hǎi,630000.0,Province,2015.0,0
钢城区,371203.0,钢城区,371203.0,市辖区,莱芜市,371200.0,地级市,山东省,370000.0,省,,,Gangcheng,,371203.0,Gangcheng,,371203.0,,Laiwu,Lái Wú,371200.0,,Shandong,Shān Dōng,370000.0,Province,2015.0,0
岗巴县,540237.0,岗巴县,540237.0,县,日喀则市,540200.0,地级市,西藏自治区,540000.0,自治区,,,Gangba,,540237.0,Gangba,,540237.0,,Rikaze,Rì Kā Zé,540200.0,,Xizang,,540000.0,,2015.0,0
