地名,year,fire_count,frp_sum,frp_mean
东丽区,2016,40,412.4,10.309999
东丽区,2017,62,566.5,9.137096
东丽区,2018,40,416.9,10.4225
东丽区,2019,47,591.1,12.576595
东乌珠穆沁旗,2010,59,1847.8,31.318645
东乌珠穆沁旗,2011,77,1948.5,25.305195
东乌珠穆沁旗,2012,129,18933.7,146.77286
东乌珠穆沁旗,2013,70,3152.4,45.034283
东乌珠穆沁旗,2014,73,5175.4,70.89589
东乌珠穆沁旗,2015,167,9850.8,58.986824
东乌珠穆沁旗,2016,99,8569.5,86.56061
东乌珠穆沁旗,2017,356,7308.3,20.528933
东乌珠穆沁旗,2018,10,247.90001,24.79
东乌珠穆沁旗,2019,39,550.1,14.105127
东乡县,2010,14,184.40001,13.17143
东乡县,2011,19,267.2,14.063159
东乡县,2012,39,914.8,23.45641
东乡县,2013,45,607.3,13.495555
东乡县,2014,107,2900.1,27.103739
东乡县,2015,22,302.4,13.745454
东乡县,2016,25,310.5,12.42
东乡县,2017,21,353.9,16.85238
东乡县,2018,33,494.7,14.99091
东乡县,2019,26,344.8,13.261538
东乡族自治县,2014,4,25.5,6.375
东乡族自治县,2015,1,6.5,6.5
东乡族自治县,2016,1,5.5,5.5
东乡族自治县,2018,1,5.6,5.6
东乡族自治县,2019,7,43.9,6.2714286
东光县,2010,14,215.3,15.3785715
东光县,2011,7,71.5,10.214286
东光县,2012,10,104.0,10.4
东光县,2013,16,145.6,9.1
东光县,2014,17,153.7,9.041176
东光县,2015,11,101.9,9.263637
东光县,2016,15,118.1,7.8733335
东光县,2017,41,763.0,18.609756
东光县,2018,16,128.7,8.04375
东光县,2019,20,326.3,16.314999
东兰县,2010,23,403.6,17.547827
东兰县,2011,12,155.5,12.958333
东兰县,2012,4,35.2,8.8
东兰县,2013,9,71.2,7.911111
东兰县,2014,14,158.6,11.328572
东兰县,2015,7,101.8,14.542857
东兰县,2016,11,200.20001,18.2
东兰县,2017,5,53.0,10.6
东兰县,2018,7,65.9,9.414286
东兰县,2019,2,15.5,7.75
东兴区,2011,7,136.0,19.428572
东兴区,2012,4,52.7,13.175
东兴区,2013,8,82.2,10.275
东兴区,2014,2,20.1,10.05
东兴区,2015,1,14.1,14.1
东兴区,2016,3,24.4,8.133333
东兴区,2018,10,79.5,7.95
东兴区,2019,4,25.400002,6.3500004
